year,state,month,number,date
1998,Acre,January,0,1/1/1998
1999,Acre,January,0,1/1/1999
2000,Acre,January,0,1/1/2000
2001,Acre,January,0,1/1/2001
2002,Acre,January,0,1/1/2002
2003,Acre,January,10,1/1/2003
2004,Acre,January,0,1/1/2004
2005,Acre,January,12,1/1/2005
2006,Acre,January,4,1/1/2006
2007,Acre,January,0,1/1/2007
2008,Acre,January,0,1/1/2008
2009,Acre,January,0,1/1/2009
2010,Acre,January,1,1/1/2010
2011,Acre,January,0,1/1/2011
2012,Acre,January,0,1/1/2012
2013,Acre,January,0,1/1/2013
2014,Acre,January,0,1/1/2014
2015,Acre,January,1,1/1/2015
2016,Acre,January,12,1/1/2016
2017,Acre,January,0,1/1/2017
1998,Acre,February,0,1/1/1998
1999,Acre,February,0,1/1/1999
2000,Acre,February,0,1/1/2000
2001,Acre,February,0,1/1/2001
2002,Acre,February,1,1/1/2002
2003,Acre,February,0,1/1/2003
2004,Acre,February,3,1/1/2004
2005,Acre,February,0,1/1/2005
2006,Acre,February,0,1/1/2006
2007,Acre,February,5,1/1/2007
2008,Acre,February,0,1/1/2008
2009,Acre,February,2,1/1/2009
2010,Acre,February,0,1/1/2010
2011,Acre,February,0,1/1/2011
2012,Acre,February,0,1/1/2012
2013,Acre,February,0,1/1/2013
2014,Acre,February,0,1/1/2014
2015,Acre,February,2,1/1/2015
2016,Acre,February,5,1/1/2016
2017,Acre,February,1,1/1/2017
1998,Acre,March,0,1/1/1998
1999,Acre,March,0,1/1/1999
2000,Acre,March,11,1/1/2000
2001,Acre,March,0,1/1/2001
2002,Acre,March,0,1/1/2002
2003,Acre,March,0,1/1/2003
2004,Acre,March,0,1/1/2004
2005,Acre,March,3,1/1/2005
2006,Acre,March,0,1/1/2006
2007,Acre,March,2,1/1/2007
2008,Acre,March,0,1/1/2008
2009,Acre,March,1,1/1/2009
2010,Acre,March,0,1/1/2010
2011,Acre,March,0,1/1/2011
2012,Acre,March,1,1/1/2012
2013,Acre,March,2,1/1/2013
2014,Acre,March,1,1/1/2014
2015,Acre,March,2,1/1/2015
2016,Acre,March,0,1/1/2016
2017,Acre,March,0,1/1/2017
1998,Acre,April,0,1/1/1998
1999,Acre,April,0,1/1/1999
2000,Acre,April,1,1/1/2000
2001,Acre,April,0,1/1/2001
2002,Acre,April,0,1/1/2002
2003,Acre,April,1,1/1/2003
2004,Acre,April,2,1/1/2004
2005,Acre,April,1,1/1/2005
2006,Acre,April,0,1/1/2006
2007,Acre,April,0,1/1/2007
